name,n,m,converged,pcg_iters,setup_s,solve_s,status
ACUSIM__Pres_Poisson.mtx,14822,350491,1,14,0.157797917,0.108023042,ok
AG-Monien__3elt.mtx,4720,13722,1,25,0.001713,0.009931875,ok
AG-Monien__3elt_dual.mtx,9000,13278,1,30,0.001766792,0.002943583,ok
AG-Monien__L-9.mtx,17983,35596,1,30,0.004468542,0.007066542,ok
AG-Monien__L.mtx,956,1820,1,22,0.000264417,0.000293416,ok
AG-Monien__airfoil1.mtx,4253,12289,1,25,0.0015065,0.001689041,ok
AG-Monien__airfoil1_dual.mtx,8034,11813,1,28,0.001688166,0.002581708,ok
AG-Monien__bfly.mtx,49152,98304,1,28,0.030608792,0.02380275,ok
AG-Monien__big_dual.mtx,30269,44929,1,33,0.085851125,0.0110525,ok
AG-Monien__biplane-9.mtx,21701,42038,1,30,0.005764167,0.009124833,ok
AG-Monien__brack2.mtx,62631,366559,1,19,0.083514084,0.032713083,ok
AG-Monien__cage.mtx,366,2562,1,16,0.000478208,0.000182667,ok
AG-Monien__cca.mtx,49152,69632,1,28,0.095714458,0.017616333,ok
AG-Monien__ccc.mtx,49152,73728,1,27,0.017130875,0.024753916,ok
AG-Monien__crack.mtx,10240,30380,1,26,0.003397292,0.003582125,ok
AG-Monien__crack_dual.mtx,20141,30043,1,32,0.004039625,0.007384875,ok
AG-Monien__debr.mtx,1048576,2097149,1,30,1.89492225,0.774889791,ok
AG-Monien__diag.mtx,2559,4092,1,26,0.000483875,0.000921083,ok
AG-Monien__grid1.mtx,252,476,0,0,0,0,skip(size)
AG-Monien__grid1_dual.mtx,224,420,0,0,0,0,skip(size)
AG-Monien__grid2.mtx,3296,6432,1,27,0.00092125,0.001144541,ok
AG-Monien__grid2_dual.mtx,3136,6112,1,27,0.000786333,0.001073292,ok
AG-Monien__netz4504.mtx,1961,2578,1,20,0.000376375,0.000439,ok
AG-Monien__netz4504_dual.mtx,615,1171,1,23,0.000158875,0.000180875,ok
AG-Monien__se.mtx,32768,49150,1,27,0.011083125,0.011638916,ok
AG-Monien__shock-9.mtx,36476,71290,1,33,0.0092555,0.016818083,ok
AG-Monien__stufe-10.mtx,24010,46414,1,32,0.006165583,0.017091041,ok
AG-Monien__stufe.mtx,1036,1868,1,23,0.000238458,0.000264292,ok
AG-Monien__ukerbe1.mtx,5981,7852,1,21,0.000935583,0.001159959,ok
AG-Monien__ukerbe1_dual.mtx,1866,3538,1,25,0.000412583,0.000567917,ok
AG-Monien__wave.mtx,156317,1059331,1,19,0.552650083,0.09148275,ok
AG-Monien__whitaker3.mtx,9800,28989,1,27,0.003722792,0.004165416,ok
AG-Monien__whitaker3_dual.mtx,19190,28581,1,31,0.004440625,0.007250416,ok
AMD__G2_circuit.mtx,150102,288286,1,29,0.155557916,0.065584042,ok
AMD__G3_circuit.mtx,1585478,3037674,1,32,0.945633416,1.078255125,ok
ATandT__onetone1.mtx,35397,144932,1,17,0.033756708,0.013000042,ok
ATandT__onetone2.mtx,35397,88468,1,18,0.015877625,0.009635291,ok
ATandT__pre2.mtx,657470,2539717,1,18,0.824949667,0.345514708,ok
ATandT__twotone.mtx,120746,540896,1,16,0.132127375,0.045625209,ok
