name,n,m,converged,iters,relres,wpe,setup_s,solve_s,status
ACUSIM__Pres_Poisson.mtx,14822,350491,1,11,7.864688109006506e-9,115.82578725273973,0.082113834,0.017587125,ok
AG-Monien__3elt.mtx,4720,13722,1,14,6.999783425240478e-9,289.3598600787057,0.003084625,0.002798958,ok
AG-Monien__3elt_dual.mtx,9000,13278,1,16,4.2205287134553265e-9,515.4848621780388,0.009144917,0.005691167,ok
AG-Monien__L-9.mtx,17983,35596,1,14,5.630763300888975e-9,385.855433194741,0.007887375,0.010583542,ok
AG-Monien__L.mtx,956,1820,1,14,5.72062376470076e-9,341.55384615384617,0.00068425,0.000481167,ok
AG-Monien__airfoil1.mtx,4253,12289,1,14,5.0881924474835875e-9,285.1299536170559,0.002512166,0.002609042,ok
AG-Monien__airfoil1_dual.mtx,8034,11813,1,16,4.393974322804759e-9,502.5189198340811,0.004630916,0.00488575,ok
AG-Monien__bfly.mtx,49152,98304,1,13,4.7825755819503525e-9,488.9298095703125,0.072257791,0.033931542,ok
AG-Monien__big_dual.mtx,30269,44929,1,16,3.7779250933838266e-9,537.5247167753566,0.01753075,0.021838,ok
AG-Monien__biplane-9.mtx,21701,42038,1,14,4.114296199045038e-9,385.9684571102336,0.044611458,0.0135635,ok
AG-Monien__brack2.mtx,62631,366559,1,13,9.625240283683517e-9,197.51893419613214,0.112862084,0.06058575,ok
AG-Monien__cage.mtx,366,2562,1,4,5.553980266075175e-15,122.28571428571429,0.000663958,0.0001395,ok
AG-Monien__cca.mtx,49152,69632,1,15,4.1944859670547714e-9,652.3164636948529,0.029210916,0.03614775,ok
AG-Monien__ccc.mtx,49152,73728,1,15,3.780713063656543e-9,663.038330078125,0.068129875,0.032728375,ok
AG-Monien__crack.mtx,10240,30380,1,16,7.486431346518844e-9,318.64753127057276,0.005998834,0.007269125,ok
AG-Monien__crack_dual.mtx,20141,30043,1,15,9.252854066335208e-9,488.96065639250406,0.015832791,0.012588375,ok
AG-Monien__debr.mtx,1048576,2097149,1,14,3.989035894710059e-9,672.1857321535093,0.951895209,0.906622,ok
AG-Monien__diag.mtx,2559,4092,1,14,4.778439726529999e-9,377.22336265884655,0.000939,0.00143675,ok
AG-Monien__grid1.mtx,252,476,0,0,0,0,0,0,skip(size)
AG-Monien__grid1_dual.mtx,224,420,0,0,0,0,0,0,skip(size)
AG-Monien__grid2.mtx,3296,6432,1,16,9.55179315401038e-9,357.2437810945274,0.001407166,0.001573042,ok
AG-Monien__grid2_dual.mtx,3136,6112,1,15,4.157850991967461e-9,328.74836387434556,0.001384333,0.00149925,ok
AG-Monien__netz4504.mtx,1961,2578,1,18,8.621435493352856e-9,611.2529092319628,0.000982292,0.001309791,ok
AG-Monien__netz4504_dual.mtx,615,1171,1,13,4.984421081733789e-9,313.80956447480787,0.000411916,0.000295333,ok
AG-Monien__se.mtx,32768,49150,1,15,8.757947732646176e-9,645.6170905391658,0.015884125,0.023127875,ok
AG-Monien__shock-9.mtx,36476,71290,1,14,7.921218738948342e-9,383.5693645672605,0.017969417,0.02231475,ok
AG-Monien__stufe-10.mtx,24010,46414,1,14,3.800764791692437e-9,391.09630714870514,0.011278375,0.014789958,ok
AG-Monien__stufe.mtx,1036,1868,1,16,6.368762588503319e-9,386.9635974304069,0.000736625,0.000556417,ok
AG-Monien__ukerbe1.mtx,5981,7852,1,17,4.785879177299069e-9,585.6491339786041,0.002683292,0.003906958,ok
AG-Monien__ukerbe1_dual.mtx,1866,3538,1,14,5.557310573175587e-9,321.8338044092708,0.001316084,0.000890666,ok
AG-Monien__wave.mtx,156317,1059331,1,14,4.520742399691947e-9,196.7375919330219,0.227666083,0.126674083,ok
AG-Monien__whitaker3.mtx,9800,28989,1,14,6.7507953930822816e-9,305.4336472455069,0.005967208,0.007274875,ok
AG-Monien__whitaker3_dual.mtx,19190,28581,1,16,3.846747791198433e-9,534.5447675028865,0.011452167,0.013790291,ok
AMD__G2_circuit.mtx,150102,288286,1,17,8.050296613150328e-9,495.1836301450643,0.113371,0.114295083,ok
AMD__G3_circuit.mtx,1585478,3037674,1,17,9.195002701158675e-9,503.27174344580754,0.996025541,1.389583042,ok
ATandT__onetone1.mtx,35397,144932,1,14,3.1355721077724537e-9,347.37613501504154,0.04664075,0.029456958,ok
ATandT__onetone2.mtx,35397,88468,1,14,3.868032578074112e-9,434.8926843604467,0.067374541,0.024663125,ok
ATandT__pre2.mtx,657470,2539717,1,51,7.510938325538086e-8,939.7446865142848,6.045181709,1.5399125,ok
ATandT__twotone.mtx,120746,540896,1,13,9.975303356630307e-9,243.49244956516594,0.220779625,0.073294,ok
Alemdar__Alemdar.mtx,6240,18168,1,15,6.3473480998955865e-9,310.0924702774108,0.005641708,0.003717542,ok
Andrews__Andrews.mtx,60000,350077,1,13,3.0943730659251397e-9,248.4115266070036,0.144661541,0.069740833,ok
Andrianov__ex3sta1.mtx,16782,331108,1,10,4.158241361057652e-9,115.46812520386098,0.242363084,0.014944375,ok
Andrianov__fxm3_6.mtx,5026,44500,1,10,3.4193923552881057e-9,134.55505617977528,0.003301084,0.002948833,ok
Andrianov__fxm4_6.mtx,18892,239476,1,10,3.989395577673539e-9,120.44346823898846,0.018085708,0.012958083,ok
Andrianov__ins2.mtx,309412,1221036,1,6,2.1598345879584723e-9,77.54062288089786,0.100901,0.058469959,ok
Andrianov__lp1.mtx,534388,554516,1,13,4.01534958859036e-9,434.56130751862884,0.169870417,0.315473125,ok
Andrianov__lpl1.mtx,32279,147260,1,14,2.9067341624320296e-9,205.93547467065056,0.018537541,0.016766834,ok
Andrianov__mip1.mtx,66463,5143178,0,0,0,0,0,0,skip(size)
Andrianov__net100.mtx,28084,966960,1,6,3.5690603174759777e-9,67.14713328369322,0.145331583,0.026268875,ok
Andrianov__net125.mtx,34884,1235560,1,6,3.561621095205012e-9,66.46702062222798,0.157815417,0.032169667,ok
Andrianov__net150.mtx,41684,1504160,1,6,3.827842661683107e-9,66.02980533985746,0.190280334,0.03918925,ok
Andrianov__net25.mtx,7684,161160,1,9,2.5587813915421868e-9,98.10580789277736,0.013660625,0.006020792,ok
Andrianov__net4-1.mtx,74026,1038021,1,17,9.594611238701479e-9,187.5792166054444,0.262364084,0.085295833,ok
Andrianov__net50.mtx,14484,429760,1,9,1.1915658163887847e-9,114.8096425912137,0.044030792,0.017700416,ok
Andrianov__net75.mtx,21284,698360,1,6,6.115343913692561e-9,68.35040953090096,0.107781708,0.019424333,ok
Andrianov__pattern1.mtx,19242,4652095,1,6,3.4715688385121312e-9,60.17620964318227,0.788839,0.090468084,ok
Andrianov__pf2177.mtx,9728,357708,1,8,3.67047945712482e-9,87.46168383150503,0.386325875,0.011436084,ok
Arenas__PGPgiantcompo.mtx,10680,24316,1,62,9.928190118978404e-9,1626.7376213192958,0.007109917,0.03315125,ok
Arenas__celegans_metabolic.mtx,453,2025,1,10,1.6306139313139838e-9,130.77037037037036,0.00155475,0.000166958,ok
Arenas__email.mtx,1133,5451,1,9,6.223790562095696e-9,183.52504127682994,0.001311625,0.000623625,ok
Arenas__jazz.mtx,198,2742,1,8,8.980010881744578e-10,86.99051787016776,0.000266833,0.00010975,ok
Averous__epb0.mtx,1794,2985,1,14,2.6609106343164387e-9,249.08274706867672,0.000628292,0.000574375,ok
Averous__epb1.mtx,14734,41262,1,13,7.640651964542126e-9,244.66981726528041,0.005874916,0.007254542,ok
Averous__epb2.mtx,25228,83877,1,13,9.569783488434613e-9,250.65293226987137,0.015512875,0.014721417,ok
Averous__epb3.mtx,84617,198891,1,16,3.853253433026202e-9,348.7626086650477,0.091696416,0.052946167,ok
Bai__af23560.mtx,23560,218519,1,16,5.599804078242139e-9,212.27496007212187,0.057815375,0.02102275,ok
Bai__bfwa398.mtx,398,1646,1,11,3.955229535236773e-9,165.5078979343864,0.000752833,0.000146416,ok
Bai__bfwa62.mtx,62,197,0,0,0,0,0,0,skip(size)
Bai__bfwa782.mtx,782,3376,1,12,2.2030131456344753e-9,194.38151658767774,0.000580625,0.000389375,ok
Bai__bfwb398.mtx,209,673,0,0,0,0,0,0,skip(size)
Bai__bfwb62.mtx,35,88,0,0,0,0,0,0,skip(size)
Bai__bfwb782.mtx,405,1363,1,12,6.549838456689828e-9,198.22450476889216,0.000773542,0.000154708,ok
Bai__bwm200.mtx,200,298,0,0,0,0,0,0,skip(size)
Bai__bwm2000.mtx,2000,2998,1,12,5.307170521752173e-9,315.1220813875917,0.000857083,0.001030667,ok
Bai__cdde1.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000529709,0.000345375,ok
Bai__cdde2.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000538292,0.000354083,ok
Bai__cdde3.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000531958,0.000335625,ok
Bai__cdde4.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000502541,0.000342458,ok
Bai__cdde5.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000497708,0.000336875,ok
Bai__cdde6.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000500792,0.000343833,ok
Bai__ck104.mtx,52,222,0,0,0,0,0,0,skip(size)
Bai__ck400.mtx,200,622,0,0,0,0,0,0,skip(size)
Bai__ck656.mtx,328,814,0,0,0,0,0,0,skip(size)
Bai__cryg10000.mtx,10000,19799,1,11,3.5551680493243006e-9,283.20208091317744,0.003797333,0.004775375,ok
Bai__cryg2500.mtx,2500,4899,1,11,3.943500687824525e-9,269.86487038171055,0.001063625,0.001066708,ok
Bai__dw1024.mtx,2048,4012,1,12,8.779228845993397e-9,301.52542372881356,0.000885541,0.000990917,ok
Bai__dw2048.mtx,2048,4012,1,12,8.779228845993397e-9,301.52542372881356,0.000860833,0.000994,ok
Bai__dw256A.mtx,512,984,0,0,0,0,0,0,skip(size)
Bai__dw256B.mtx,512,984,0,0,0,0,0,0,skip(size)
Bai__dw4096.mtx,8192,16378,1,13,7.484508956886734e-9,330.99914519477346,0.00392525,0.004361458,ok
Bai__dw8192.mtx,8192,16378,1,13,7.484508956886734e-9,330.99914519477346,0.003840625,0.004364791,ok
Bai__dwa512.mtx,512,984,0,0,0,0,0,0,skip(size)
Bai__dwb512.mtx,512,984,0,0,0,0,0,0,skip(size)
Bai__dwg961a.mtx,705,1350,1,14,8.43937338263835e-9,320.18518518518516,0.000325292,0.000361958,ok
Bai__dwg961b.mtx,961,4815,1,13,4.256769625321809e-9,201.98733125649014,0.000549875,0.000567416,ok
Bai__lop163.mtx,163,178,0,0,0,0,0,0,skip(size)
Bai__mhd1280a.mtx,1266,22945,1,9,7.518467751578915e-9,100.90433645674439,0.001883208,0.000961375,ok
Bai__mhd1280b.mtx,474,4753,1,11,3.5869227110322334e-9,122.83989059541342,0.000457417,0.000261958,ok
Bai__mhd3200a.mtx,3193,35605,1,11,5.092846826378501e-9,127.21227355708469,0.003342333,0.002142334,ok
Bai__mhd3200b.mtx,798,2787,1,12,4.914446653631604e-9,156.8826695371367,0.000960417,0.000310333,ok
Bai__mhd4800a.mtx,4793,53520,1,11,6.4738457267376515e-9,128.04908445440955,0.003955375,0.003444,ok
Bai__mhd4800b.mtx,1198,4187,1,13,6.4920486706610734e-9,181.0002388344877,0.000561166,0.000561,ok
Bai__mhda416.mtx,409,4483,1,10,6.984009894545039e-9,113.12290876645103,0.000549875,0.00021925,ok
Bai__mhdb416.mtx,102,351,0,0,0,0,0,0,skip(size)
Bai__odepa400.mtx,400,399,0,0,0,0,0,0,skip(size)
Bai__odepb400.mtx,1,0,0,0,0,0,0,0,skip(size)
Bai__olm100.mtx,100,148,0,0,0,0,0,0,skip(size)
Bai__olm1000.mtx,1000,1498,1,18,3.4324941964416296e-9,371.2710280373832,0.000507416,0.000513958,ok
Bai__olm2000.mtx,2000,2998,1,18,6.165615847852964e-9,403.1687791861241,0.000646417,0.001237458,ok
Bai__olm500.mtx,500,748,0,0,0,0,0,0,skip(size)
Bai__olm5000.mtx,5000,7498,1,18,6.071861814913354e-9,403.39877300613495,0.003060916,0.003031375,ok
Bai__pde225.mtx,225,420,0,0,0,0,0,0,skip(size)
Bai__pde2961.mtx,2961,5812,1,11,2.15022571857367e-9,263.2448382656573,0.001159667,0.001169125,ok
Bai__pde900.mtx,900,1740,1,11,8.663334772455548e-9,248.76436781609195,0.000477458,0.000351417,ok
Bai__qc2534.mtx,2534,230413,1,4,1.091461443309668e-9,40.31487806677575,0.010277583,0.003250209,ok
Bai__qc324.mtx,324,13203,1,4,1.9060065392994024e-9,40.702264636824964,0.000451583,0.000192584,ok
Bai__qh1484.mtx,1470,2475,1,16,7.930580766976335e-9,353.25414141414143,0.000904,0.000651875,ok
Bai__qh768.mtx,672,1112,1,15,3.6865122768716506e-9,313.8129496402878,0.000339458,0.000271417,ok
