name,n,m,converged,cycles,wpe,setup_s,solve_s,status
ACUSIM__Pres_Poisson.mtx,14822,350491,1,4,101.75687250171902,0.098413541,0.350691084,ok
AG-Monien__3elt.mtx,4720,13722,1,5,1397.343317300685,0.005301375,0.008546791,ok
AG-Monien__3elt_dual.mtx,9000,13278,1,5,1501.0939147461968,0.011079958,0.009975,ok
AG-Monien__L-9.mtx,17983,35596,1,5,1856.5271378806608,0.018679292,0.021939291,ok
AG-Monien__L.mtx,956,1820,1,4,727.8505494505495,0.000749666,0.001034209,ok
AG-Monien__airfoil1.mtx,4253,12289,1,5,1201.0550085442264,0.004100125,0.007942292,ok
AG-Monien__airfoil1_dual.mtx,8034,11813,1,5,1525.3974434944553,0.004428666,0.008644125,ok
AG-Monien__bfly.mtx,49152,98304,1,3,774.3954772949219,0.089013416,0.035748334,ok
AG-Monien__big_dual.mtx,30269,44929,1,5,2008.942442520421,0.054119917,0.039893042,ok
AG-Monien__biplane-9.mtx,21701,42038,1,5,1546.5412246063086,0.018834833,0.0644345,ok
AG-Monien__brack2.mtx,62631,366559,1,8,2094.711192468334,0.142785333,0.323760542,ok
AG-Monien__cage.mtx,366,2562,1,3,137.3454332552693,0.00064575,0.000323083,ok
AG-Monien__cca.mtx,49152,69632,1,4,2242.428883272059,0.038240417,0.046262375,ok
AG-Monien__ccc.mtx,49152,73728,1,4,2397.9197591145835,0.046861208,0.049476584,ok
AG-Monien__crack.mtx,10240,30380,1,5,1135.4894667544438,0.008372875,0.01525525,ok
AG-Monien__crack_dual.mtx,20141,30043,1,5,1568.9510035615617,0.018311083,0.021889792,ok
AG-Monien__debr.mtx,1048576,2097149,1,3,1341.2537030034584,2.15160825,1.229424333,ok
AG-Monien__diag.mtx,2559,4092,1,5,568.121945259042,0.001333458,0.002415709,ok
AG-Monien__grid1.mtx,252,476,0,0,0,0,0,skip(size)
AG-Monien__grid1_dual.mtx,224,420,0,0,0,0,0,skip(size)
AG-Monien__grid2.mtx,3296,6432,1,5,1034.3742226368158,0.001979708,0.003542792,ok
AG-Monien__grid2_dual.mtx,3136,6112,1,5,966.8250981675393,0.001956917,0.004012292,ok
AG-Monien__netz4504.mtx,1961,2578,1,5,985.3840186190846,0.001226125,0.001953625,ok
AG-Monien__netz4504_dual.mtx,615,1171,1,4,568.4918872758326,0.000491583,0.00073,ok
AG-Monien__se.mtx,32768,49150,1,4,2412.6295829094606,0.034779625,0.039170542,ok
AG-Monien__shock-9.mtx,36476,71290,1,5,2145.9937578903073,0.029489291,0.111220084,ok
AG-Monien__stufe-10.mtx,24010,46414,1,5,2074.50553712242,0.015510042,0.028841125,ok
AG-Monien__stufe.mtx,1036,1868,1,4,768.4154175588865,0.000806041,0.001110125,ok
AG-Monien__ukerbe1.mtx,5981,7852,1,4,357.9551706571574,0.001917083,0.00265025,ok
AG-Monien__ukerbe1_dual.mtx,1866,3538,1,5,894.7300734878462,0.001296791,0.002403584,ok
AG-Monien__wave.mtx,156317,1059331,1,9,511.93993756436845,0.343624167,0.34152625,ok
AG-Monien__whitaker3.mtx,9800,28989,1,5,1622.6849839594329,0.01673675,0.026354416,ok
AG-Monien__whitaker3_dual.mtx,19190,28581,1,5,1913.3532766523215,0.06736525,0.027123917,ok
AMD__G2_circuit.mtx,150102,288286,1,4,2260.565868616582,0.186394375,0.491073833,ok
AMD__G3_circuit.mtx,1585478,3037674,1,4,2311.9919846566813,1.806057167,5.22132075,ok
ATandT__onetone1.mtx,35397,144932,1,3,691.6121698451688,0.092884542,0.028324041,ok
ATandT__onetone2.mtx,35397,88468,1,3,1068.1845073925035,0.036615791,0.029102667,ok
ATandT__pre2.mtx,657470,2539717,1,3,1767.548858002683,0.956065042,2.230890333,ok
ATandT__twotone.mtx,120746,540896,1,3,1534.3219509850323,0.236555084,0.427409666,ok
Alemdar__Alemdar.mtx,6240,18168,1,4,1428.5446939674152,0.006220416,0.009407167,ok
Andrews__Andrews.mtx,60000,350077,1,7,726.1975565375617,0.179804583,0.122265417,ok
Andrianov__ex3sta1.mtx,16782,331108,1,7,250.2333196419295,0.089768583,0.037631042,ok
Andrianov__fxm3_6.mtx,5026,44500,1,4,331.29069662921347,0.007530958,0.008186292,ok
Andrianov__fxm4_6.mtx,18892,239476,1,4,381.7271542868596,0.03596225,0.041304333,ok
Andrianov__ins2.mtx,309412,1221036,1,1,12.408027281750906,0.0843195,0.057261667,ok
Andrianov__lp1.mtx,534388,554516,1,2,30.365886647094044,0.105527583,0.084025167,ok
Andrianov__lpl1.mtx,32279,147260,1,3,414.24338584815973,0.068100209,0.02342025,ok
Andrianov__mip1.mtx,66463,5143178,0,0,0,0,0,skip(size)
Andrianov__net100.mtx,28084,966960,1,2,142.08378836766775,0.266868458,0.044572375,ok
Andrianov__net125.mtx,34884,1235560,1,2,130.91777169866296,0.278576541,0.054678042,ok
Andrianov__net150.mtx,41684,1504160,1,2,117.47908467184342,0.365019875,0.062843,ok
Andrianov__net25.mtx,7684,161160,1,2,203.6343137254902,0.079833042,0.010243791,ok
Andrianov__net4-1.mtx,74026,1038021,1,3,241.05870979488853,0.195929917,0.083454416,ok
Andrianov__net50.mtx,14484,429760,1,2,156.95695271779599,0.127879792,0.021204417,ok
Andrianov__net75.mtx,21284,698360,1,2,150.9583137636749,0.183671708,0.044662125,ok
Andrianov__pattern1.mtx,19242,4652095,1,4,55.783821267622436,0.790347375,0.107814875,ok
Andrianov__pf2177.mtx,9728,357708,1,5,210.59116653807015,0.112029542,0.029732791,ok
Arenas__PGPgiantcompo.mtx,10680,24316,1,3,262.75563415035367,0.0061945,0.003888791,ok
Arenas__celegans_metabolic.mtx,453,2025,1,2,145.81728395061728,0.000582625,0.000295792,ok
Arenas__email.mtx,1133,5451,1,2,238.92716932672903,0.001535,0.000727208,ok
Arenas__jazz.mtx,198,2742,1,2,121.80233406272794,0.000517458,0.000229,ok
Averous__epb0.mtx,1794,2985,1,1,13.09212730318258,0.000208083,0.000144083,ok
Averous__epb1.mtx,14734,41262,1,5,1448.1280597159614,0.016635416,0.025619417,ok
